YEAR,MONTH,DAY,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
2013,1,1,0,0,0,44,-33,31
2013,1,2,0,0,0,6,-56,26
2013,1,3,0,0,0,0,-44,20
2013,1,4,0,0,0,28,-11,36
2013,1,5,0,0,0,56,0,30
2013,1,6,0,0,0,78,11,30
2013,1,7,0,0,0,72,28,24
2013,1,8,0,0,0,89,17,29
2013,1,9,0,0,0,94,39,18
2013,1,10,0,0,0,83,44,30
2013,1,11,140,0,0,78,28,20
2013,1,12,5,0,0,83,56,17
2013,1,13,0,0,0,100,61,12
2013,1,14,23,0,0,133,33,22
2013,1,15,30,0,0,33,17,31
2013,1,16,175,0,0,28,0,22
2013,1,17,0,0,0,61,17,25
2013,1,18,0,0,0,17,-39,30
2013,1,19,0,0,0,106,-11,44
2013,1,20,0,0,0,117,-11,49
2013,1,21,0,0,0,0,-33,23
2013,1,22,0,0,0,-28,-106,47
2013,1,23,0,0,0,-67,-117,35
2013,1,24,0,0,0,-56,-111,38
2013,1,25,18,0,38,-44,-106,30
2013,1,26,0,51,0,-28,-94,30
2013,1,27,0,25,0,11,-72,26
2013,1,28,56,25,0,22,-17,21
2013,1,29,15,0,0,94,22,20
2013,1,30,10,0,0,150,39,23
2013,1,31,229,0,0,161,-11,55
2013,2,1,0,0,0,-6,-44,38
2013,2,2,5,0,3,-17,-72,29
2013,2,3,5,0,8,-11,-44,16
2013,2,4,0,0,0,-11,-50,33
2013,2,5,5,0,10,0,-22,22
2013,2,6,0,0,0,39,-17,21
2013,2,7,0,0,0,0,-33,26
2013,2,8,292,0,160,11,-28,61
2013,2,9,97,0,130,0,-61,38
2013,2,10,0,254,0,22,-78,14
2013,2,11,124,229,0,72,11,16
2013,2,12,0,102,0,67,22,38
2013,2,13,8,0,0,67,6,15
2013,2,14,0,0,0,78,6,18
2013,2,15,0,0,0,128,28,27
2013,2,16,5,0,0,50,-6,32
2013,2,17,0,0,0,0,-78,55
2013,2,18,0,0,0,17,-83,37
2013,2,19,38,0,0,94,6,30
2013,2,20,0,0,0,33,-39,54
2013,2,21,0,0,0,11,-44,45
2013,2,22,0,0,0,33,-39,32
2013,2,23,66,0,0,56,22,40
2013,2,24,3,0,0,83,11,32
2013,2,25,0,0,0,72,0,21
2013,2,26,36,0,0,67,17,34
2013,2,27,396,0,0,83,22,50
2013,2,28,0,0,0,106,39,20
2013,3,1,0,0,0,72,22,24
2013,3,2,0,0,0,44,-6,34
2013,3,3,0,0,0,44,-17,34
2013,3,4,0,0,0,56,-28,46
2013,3,5,0,0,0,94,-6,32
2013,3,6,0,0,0,56,33,69
2013,3,7,48,0,0,33,6,45
2013,3,8,137,51,102,56,-6,34
2013,3,9,0,51,0,128,17,27
2013,3,10,0,0,0,100,22,21
2013,3,11,0,0,0,122,44,29
2013,3,12,201,0,0,139,61,36
2013,3,13,0,0,0,111,33,28
2013,3,14,0,0,0,50,-17,51
2013,3,15,0,0,0,83,-11,35
2013,3,16,30,0,8,50,0,17
2013,3,17,0,0,0,33,-17,27
2013,3,18,165,0,76,17,-22,43
2013,3,19,91,51,0,61,6,43
2013,3,20,0,0,0,72,0,34
2013,3,21,0,0,0,44,-11,29
2013,3,22,0,0,0,50,-22,40
2013,3,23,0,0,0,78,0,43
2013,3,24,0,0,0,83,6,23
2013,3,25,43,0,0,44,22,40
2013,3,26,0,0,0,117,28,21
2013,3,27,0,0,0,117,22,25
2013,3,28,0,0,0,106,28,26
2013,3,29,0,0,0,128,44,25
2013,3,30,0,0,0,150,44,19
2013,3,31,20,0,0,122,67,28
2013,4,1,0,0,0,167,28,29
2013,4,2,0,0,0,61,6,43
2013,4,3,0,0,0,78,6,48
2013,4,4,0,0,0,117,6,26
2013,4,5,0,0,0,178,50,25
2013,4,6,0,0,0,111,17,27
2013,4,7,0,0,0,128,44,32
2013,4,8,0,0,0,228,106,19
2013,4,9,0,0,0,278,106,22
2013,4,10,124,0,0,233,128,22
2013,4,11,0,0,0,156,83,28
2013,4,12,160,0,0,83,50,50
2013,4,13,3,0,0,144,50,13
2013,4,14,0,0,0,139,78,26
2013,4,15,0,0,0,150,67,26
2013,4,16,0,0,0,172,83,29
2013,4,17,5,0,0,217,128,24
2013,4,18,3,0,0,150,106,27
2013,4,19,13,0,0,217,128,32
2013,4,20,15,0,0,156,61,38
2013,4,21,0,0,0,128,28,22
2013,4,22,0,0,0,128,50,43
2013,4,23,0,0,0,117,50,39
2013,4,24,0,0,0,206,67,22
2013,4,25,0,0,0,189,78,24
2013,4,26,0,0,0,194,100,15
2013,4,27,0,0,0,217,89,21
2013,4,28,0,0,0,206,106,20
2013,4,29,10,0,0,139,111,23
2013,4,30,0,0,0,200,106,24
2013,5,1,0,0,0,206,83,21
2013,5,2,0,0,0,222,94,16
2013,5,3,0,0,0,189,94,29
2013,5,4,0,0,0,206,89,26
2013,5,5,0,0,0,178,78,25
2013,5,6,0,0,0,206,78,16
2013,5,7,0,0,0,233,111,26
2013,5,8,767,0,0,172,128,25
2013,5,9,127,0,0,200,122,16
2013,5,10,3,0,0,261,150,17
2013,5,11,277,0,0,211,161,14
2013,5,12,0,0,0,211,106,35
2013,5,13,0,0,0,144,72,32
2013,5,14,0,0,0,161,56,20
2013,5,15,0,0,0,206,111,45
2013,5,16,0,0,0,261,167,16
2013,5,17,0,0,0,222,144,16
2013,5,18,3,0,0,183,133,9
2013,5,19,152,0,0,150,128,21
2013,5,20,0,0,0,261,144,7
2013,5,21,0,0,0,300,200,24
2013,5,22,0,0,0,256,150,15
2013,5,23,460,0,0,267,178,24
2013,5,24,76,0,0,183,72,24
2013,5,25,36,0,0,122,72,41
2013,5,26,0,0,0,189,89,38
2013,5,27,0,0,0,228,106,17
2013,5,28,132,0,0,200,133,12
2013,5,29,0,0,0,278,144,7
2013,5,30,0,0,0,322,222,23
2013,5,31,0,0,0,322,239,18
2013,6,1,0,0,0,322,228,17
2013,6,2,216,0,0,311,206,27
2013,6,3,221,0,0,256,189,15
2013,6,4,0,0,0,239,139,22
2013,6,5,0,0,0,233,144,17
2013,6,6,33,0,0,211,150,23
